group,variable,donated,received,value
Afghanistan,1964,0,25.431,-25.431
Afghanistan,1969,0,34.917,-34.917
Afghanistan,1970,0,71.0171,-71.0171
Afghanistan,1971,0,32.5079,-32.5079
Afghanistan,1972,0,1.7002,-1.7002
Afghanistan,1973,0,268.6615,-268.6615
Afghanistan,1974,0,174.5909,-174.5909
Afghanistan,1975,0,122.6721,-122.6721
Afghanistan,1976,0,362.8981,-362.8981
Afghanistan,1977,0,385.1916,-385.1916
Afghanistan,1978,0,303.9471,-303.9471
Afghanistan,1979,0,280.0581,-280.0581
Afghanistan,1980,0,1.8934,-1.8934
Afghanistan,1981,0,0.9095,-0.9095
Afghanistan,1982,0,0.7325,-0.7325
Afghanistan,1983,0,4.0922,-4.0922
Afghanistan,1984,0,3.4021,-3.4021
Afghanistan,1985,0,13.0043,-13.0043
Afghanistan,1986,0,43.0285,-43.0285
Afghanistan,1987,0,64.3841,-64.3841
Afghanistan,1988,0,108.7647,-108.7647
Afghanistan,1989,0,143.5867,-143.5867
Afghanistan,1990,0,138.1567,-138.1567
Afghanistan,1991,0,114.2123,-114.2123
Afghanistan,1992,0,125.216,-125.216
Afghanistan,1993,0,91.9684,-91.9684
Afghanistan,1994,0,68.7551,-68.7551
Afghanistan,1995,0,130.2722,-130.2722
Afghanistan,1996,0,138.9595,-138.9595
Afghanistan,1997,0,223.6546,-223.6546
Afghanistan,1998,0,195.075,-195.075
Afghanistan,1999,0,216.5315,-216.5315
Afghanistan,2000,0,236.8397,-236.8397
Afghanistan,2001,0,868.5859,-868.5859
Afghanistan,2002,0,4839.9453,-4839.9453
Afghanistan,2003,0,3486.7325,-3486.7325
Afghanistan,2004,0,3767.5969,-3767.5969
Afghanistan,2005,0,4394.5724,-4394.5724
Afghanistan,2006,0,4257.9326,-4257.9326
Afghanistan,2007,0,5111.9345,-5111.9345
Afghanistan,2008,0,6708.4204,-6708.4204
Afghanistan,2009,0,6679.7741,-6679.7741
Afghanistan,2010,0,8300.5954,-8300.5954
Afghanistan,2011,0,6606.9141,-6606.9141
Afghanistan,2012,0,6453.9374,-6453.9374
Afghanistan,2013,0,6654.7159,-6654.7159
Afghanistan,9999,0,10.2885,-10.2885
Argentina,1961,0,387.9171,-387.9171
Argentina,1962,0,730.1345,-730.1345
Argentina,1967,0,109.1591,-109.1591
Argentina,1968,0,935.4767,-935.4767
Argentina,1969,0,574.738,-574.738
Argentina,1970,0,507.3575,-507.3575
Argentina,1971,0,1369.7785,-1369.7785
Argentina,1972,0,887.7954,-887.7954
Argentina,1973,0,97.011,-97.011
Argentina,1974,0,395.7879,-395.7879
Argentina,1975,0,825.6983,-825.6983
Argentina,1976,0,1234.2621,-1234.2621
Argentina,1977,0,1822.149,-1822.149
Argentina,1978,0,1382.9365,-1382.9365
Argentina,1979,0,1644.0588,-1644.0588
Argentina,1980,0,1676.7693,-1676.7693
Argentina,1981,0,2173.4256,-2173.4256
Argentina,1982,0,2221.8682,-2221.8682
Argentina,1983,0,499.9582,-499.9582
Argentina,1984,0,4390.2051,-4390.2051
Argentina,1985,0,1134.6517,-1134.6517
Argentina,1986,0,2669.138,-2669.138
Argentina,1987,0,3732.4421,-3732.4421
Argentina,1988,0,4313.312,-4313.312
Argentina,1989,0,1879.4549,-1879.4549
Argentina,1990,0,1064.1906,-1064.1906
Argentina,1991,0,4077.1725,-4077.1725
Argentina,1992,0,7670.7442,-7670.7442
Argentina,1993,0,5447.7857,-5447.7857
Argentina,1994,0,4268.4516,-4268.4516
Argentina,1995,0,8360.7883,-8360.7883
Argentina,1996,0,7799.6522,-7799.6522
Argentina,1997,0,4742.8232,-4742.8232
Argentina,1998,0,15935.1671,-15935.1671
Argentina,1999,0,4162.139,-4162.139
Argentina,2000,0,4260.3437,-4260.3437
Argentina,2001,0,52056.1271,-52056.1271
Argentina,2002,0,495.8638,-495.8638
Argentina,2003,0,27038.7912,-27038.7912
Argentina,2004,0,2301.0406,-2301.0406
Argentina,2005,0,2315.5828,-2315.5828
Argentina,2006,0,4142.9984,-4142.9984
Argentina,2007,0,4500.4911,-4500.4911
Argentina,2008,0,2800.141,-2800.141
Argentina,2009,0,3788.6575,-3788.6575
Argentina,2010,0,4816.0971,-4816.0971
Argentina,2011,0,2368.0388,-2368.0388
Argentina,2012,0,190.814,-190.814
Argentina,2013,0,1323.1317,-1323.1317
Argentina,9999,0,2.909,-2.909
Australia,1950,0,811.0273,-811.0273
Australia,1952,0,405.5137,-405.5137
Australia,1954,0,437.9547,-437.9547
Australia,1955,0,442.0099,-442.0099
Australia,1956,0,480.1282,-480.1282
Australia,1962,0,768.5626,-768.5626
Australia,1973,271.6574,0,271.6574
Australia,1974,1874.1011,0,1874.1011
Australia,1975,938.3615,0,938.3615
Australia,1976,1256.9646,0,1256.9646
Australia,1977,1752.0802,0,1752.0802
Australia,1978,1604.2737,0,1604.2737
Australia,1979,1523.9727,0,1523.9727
Australia,1980,1418.5457,54.5023,1364.0434
Australia,1981,1352.5484,747.648,604.9004
Australia,1982,1198.4914,2.5995,1195.892
Australia,1983,1357.4441,0,1357.4441
Australia,1984,1175.2875,0,1175.2875
Australia,1985,1093.7378,0,1093.7378
Australia,1986,1034.646,1.8678,1032.7782
Australia,1987,964.8165,0,964.8165
Australia,1988,2162.2527,0.7658,2161.4868
Australia,1989,555.6463,0.5147,555.1316
Australia,1990,877.3538,0,877.3538
Australia,1991,1262.5821,0,1262.5821
Australia,1992,794.7926,193.5537,601.2389
Australia,1993,1733.8543,79.2623,1654.592
Australia,1994,1751.8686,321.2332,1430.6355
Australia,1995,627.5913,343.7595,283.8318
Australia,1996,3182.6941,0.167,3182.5271
Australia,1997,1617.7271,0,1617.7271
Australia,1998,1505.9824,133.637,1372.3453
Australia,1999,2169.2273,0,2169.2273
Australia,2000,2797.6336,0,2797.6336
Australia,2001,2091.4199,0,2091.4199
Australia,2002,1783.4318,696.8829,1086.5489
Australia,2003,2436.5975,0.2735,2436.3239
Australia,2004,2273.6863,0.6246,2273.0618
Australia,2005,2487.331,0.3462,2486.9848
Australia,2006,3768.3067,0,3768.3067
Australia,2007,2449.4023,0,2449.4023
Australia,2008,5356.1437,0,5356.1437
Australia,2009,3505.5311,0,3505.5311
Australia,2010,4355.1509,0,4355.1509
Australia,2011,4278.335,0,4278.335
Australia,2012,4669.557,0,4669.557
